transaction_ref,account_id,amount,currency,transaction_type,direction,counterparty_country,channel,jurisdiction,description,transaction_time
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-089,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-10-18T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-088,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-10-19T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-087,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-10-20T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-086,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-10-21T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-085,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-10-22T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-084,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-10-23T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-083,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-10-24T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-082,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-10-25T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-081,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-10-26T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-080,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-10-27T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-079,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-10-28T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-078,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-10-29T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-077,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-10-30T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-076,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-10-31T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-075,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-01T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-074,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-02T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-073,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-03T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-072,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-04T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-071,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-05T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-070,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-06T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-069,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-07T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-068,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-08T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-067,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-09T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-066,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-10T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-065,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-11T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-064,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-12T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-063,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-13T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-062,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-14T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-061,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-15T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-060,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-16T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-059,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-17T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-058,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-18T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-057,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-19T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-056,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-20T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-055,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-21T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-054,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-22T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-053,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-23T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-052,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-24T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-051,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-25T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-050,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-26T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-049,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-27T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-048,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-28T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-047,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-29T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-046,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-11-30T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-045,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-01T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-044,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-02T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-043,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-03T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-042,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-04T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-041,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-05T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-040,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-06T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-039,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-07T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-038,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-08T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-037,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-09T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-036,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-10T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-035,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-11T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-034,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-12T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-033,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-13T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-032,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-14T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-031,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-15T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-030,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-16T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-029,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-17T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-028,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-18T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-027,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-19T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-026,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-20T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-025,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-21T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-024,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-22T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-023,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-23T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-022,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-24T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-021,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-25T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-020,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-26T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-019,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-27T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-018,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-28T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-017,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-29T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-016,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-30T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-015,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2029-12-31T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-014,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2030-01-01T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-013,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2030-01-02T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-012,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2030-01-03T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-011,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2030-01-04T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-010,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2030-01-05T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-009,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2030-01-06T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-008,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2030-01-07T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-007,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2030-01-08T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-006,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2030-01-09T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-005,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2030-01-10T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-004,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2030-01-11T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-003,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2030-01-12T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-002,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2030-01-13T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-HISTORY-001,DEMO-FIXTURE-A-BEHAVIOR,100,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2030-01-14T12:00:00Z
DEMO-FIXTURE-T-BEHAVIOR-SURGE,DEMO-FIXTURE-A-BEHAVIOR,1000,USD,TRANSFER,INBOUND,IN,ONLINE,IN,Synthetic Sentinel demo: BEHAVIOR,2030-01-15T12:00:00Z
DEMO-FIXTURE-T-HIGH_VALUE_RISK-WIRE,DEMO-FIXTURE-A-HIGH_VALUE_RISK,12500,USD,TRANSFER,OUTBOUND,IR,ONLINE,IR,Synthetic high-value international supplier wire to a configured high-risk country,2030-01-15T12:00:00Z
DEMO-FIXTURE-T-HIGH_STRUCTURING-1,DEMO-FIXTURE-A-HIGH_STRUCTURING,9200,USD,TRANSFER,OUTBOUND,IR,ONLINE,IR,Synthetic split supplier payment below the reporting threshold,2030-01-15T12:00:00Z
DEMO-FIXTURE-T-HIGH_STRUCTURING-2,DEMO-FIXTURE-A-HIGH_STRUCTURING,9600,USD,TRANSFER,OUTBOUND,IR,ONLINE,IR,Synthetic split supplier payment below the reporting threshold,2030-01-15T12:20:00Z
DEMO-FIXTURE-T-HIGH_STRUCTURING-3,DEMO-FIXTURE-A-HIGH_STRUCTURING,9800,USD,TRANSFER,OUTBOUND,IR,ONLINE,IR,Synthetic split supplier payment below the reporting threshold,2030-01-15T12:40:00Z
DEMO-FIXTURE-T-HIGH_DOMESTIC-DEPOSIT,DEMO-FIXTURE-A-HIGH_DOMESTIC,30000,USD,CASH_DEPOSIT,INBOUND,IN,ONLINE,IN,Synthetic cash deposit followed by split domestic transfers,2030-01-15T12:00:00Z
DEMO-FIXTURE-T-HIGH_DOMESTIC-OUT-1,DEMO-FIXTURE-A-HIGH_DOMESTIC,9500,USD,TRANSFER,OUTBOUND,IN,ONLINE,IN,Synthetic domestic transfer after cash deposit,2030-01-15T12:15:00Z
DEMO-FIXTURE-T-HIGH_DOMESTIC-OUT-2,DEMO-FIXTURE-A-HIGH_DOMESTIC,9600,USD,TRANSFER,OUTBOUND,IN,ONLINE,IN,Synthetic domestic transfer after cash deposit,2030-01-15T12:30:00Z
DEMO-FIXTURE-T-HIGH_DOMESTIC-OUT-3,DEMO-FIXTURE-A-HIGH_DOMESTIC,9700,USD,TRANSFER,OUTBOUND,IN,ONLINE,IN,Synthetic domestic transfer after cash deposit,2030-01-15T12:45:00Z
DEMO-FIXTURE-T-CRITICAL_RAPID-DEPOSIT,DEMO-FIXTURE-A-CRITICAL_RAPID,20000,USD,CASH_DEPOSIT,INBOUND,IN,ONLINE,IN,Synthetic cash deposit before rapid international transfer,2030-01-15T12:00:00Z
DEMO-FIXTURE-T-CRITICAL_RAPID-OUT,DEMO-FIXTURE-A-CRITICAL_RAPID,17000,USD,TRANSFER,OUTBOUND,IR,ONLINE,IR,Synthetic transfer of 85 percent of deposit to a configured high-risk country,2030-01-15T12:30:00Z
DEMO-FIXTURE-T-CRITICAL_LAYERING-DEPOSIT,DEMO-FIXTURE-A-CRITICAL_LAYERING,30000,USD,CASH_DEPOSIT,INBOUND,IN,ONLINE,IN,Synthetic cash deposit before three round-number international transfers,2030-01-15T12:00:00Z
DEMO-FIXTURE-T-CRITICAL_LAYERING-OUT-1,DEMO-FIXTURE-A-CRITICAL_LAYERING,9000,USD,TRANSFER,OUTBOUND,IR,ONLINE,IR,Synthetic split round-number wire; combined rules reach the score cap,2030-01-15T12:10:00Z
DEMO-FIXTURE-T-CRITICAL_LAYERING-OUT-2,DEMO-FIXTURE-A-CRITICAL_LAYERING,9000,USD,TRANSFER,OUTBOUND,IR,ONLINE,IR,Synthetic split round-number wire; combined rules reach the score cap,2030-01-15T12:20:00Z
DEMO-FIXTURE-T-CRITICAL_LAYERING-OUT-3,DEMO-FIXTURE-A-CRITICAL_LAYERING,9000,USD,TRANSFER,OUTBOUND,IR,ONLINE,IR,Synthetic split round-number wire; combined rules reach the score cap,2030-01-15T12:30:00Z
